iter	Passed	Remaining
643	67691	37419
644	67797	37314
645	67902	37209
646	68007	37104
647	68112	36999
648	68217	36894
649	68321	36788
650	68427	36683
651	68532	36578
652	68637	36473
653	68742	36368
654	68848	36263
655	68955	36159
656	69059	36054
657	69165	35949
658	69270	35844
659	69376	35739
660	69481	35634
661	69594	35533
662	69700	35428
663	69805	35323
664	69909	35217
665	70013	35111
666	70117	35006
667	70222	34900
668	70326	34795
669	70430	34689
670	70534	34583
671	70638	34478
672	70742	34372
673	70849	34268
674	70954	34163
675	71058	34057
676	71162	33951
677	71266	33846
678	71370	33740
679	71474	33635
680	71578	33529
681	71683	33424
682	71788	33319
683	71893	33214
684	71998	33108
685	72103	33003
686	72208	32898
687	72313	32793
688	72418	32688
689	72457	32553
690	72565	32449
691	72670	32344
692	72775	32239
693	72879	32134
694	72984	32029
695	73090	31924
696	73195	31819
697	73300	31714
698	73404	31609
699	73509	31504
700	73614	31399
701	73720	31294
702	73825	31189
703	73930	31084
704	74035	30979
705	74140	30874
706	74247	30770
707	74352	30665
708	74457	30560
709	74562	30455
710	74669	30350
711	74781	30248
712	74886	30143
713	74991	30038
714	75096	29933
715	75201	29828
716	75306	29723
717	75411	29618
718	75517	29513
719	75622	29408
720	75727	29303
721	75832	29198
722	75937	29093
723	76041	28988
724	76146	28883
725	76186	28753
726	76292	28648
727	76397	28544
728	76502	28439
729	76607	28334
730	76713	28229
731	76821	28125
732	76926	28020
733	77032	27916
734	77137	27811
735	77242	27706
736	77346	27601
737	77451	27496
738	77556	27391
739	77661	27286
740	77766	27181
741	77869	27076
742	77974	26970
743	78078	26865
744	78182	26760
745	78286	26655
746	78390	26549
747	78495	26444
748	78599	26339
749	78703	26234
750	78808	26129
751	78912	26024
752	79016	25919
753	79120	25813
754	79224	25708
755	79328	25603
756	79432	25498
757	79536	25392
758	79641	25287
759	79745	25182
760	79849	25077
761	79954	24972
762	80058	24867
763	80123	24750
764	80228	24645
765	80333	24540
766	80438	24435
767	80543	24330
768	80647	24225
769	80752	24120
770	80856	24015
771	80961	23910
772	81066	23806
773	81170	23700
774	81275	23595
775	81379	23491
776	81484	23386
777	81589	23281
778	81694	23176
779	81802	23072
780	81913	22969
781	82018	22864
782	82122	22759
783	82227	22654
784	82293	22538
785	82398	22434
786	82503	22329
787	82542	22206
788	82647	22102
789	82752	21997
790	82858	21892
791	82962	21788
792	83066	21683
793	83170	21578
794	83273	21473
795	83377	21368
796	83481	21263
797	83585	21158
798	83689	21053
799	83793	20948
800	83897	20843
801	84001	20738
802	84105	20633
803	84209	20528
804	84313	20423
805	84416	20318
806	84520	20213
807	84624	20108
808	84728	20003
809	84833	19899
810	84938	19794
811	85042	19689
812	85146	19584
813	85250	19479
814	85354	19374
815	85392	19255
816	85499	19150
817	85604	19046
818	85708	18941
819	85812	18836
820	85916	18732
821	86021	18627
822	86125	18522
823	86230	18418
824	86334	18313
825	86372	18194
826	86476	18089
827	86580	17985
828	86684	17880
829	86788	17775
830	86893	17671
831	86997	17566
832	87100	17462
833	87204	17357
834	87309	17252
835	87413	17148
836	87517	17043
837	87621	16938
838	87725	16834
839	87829	16729
840	87933	16624
841	88038	16520
842	88143	16415
843	88247	16311
844	88351	16206
845	88456	16101
846	88563	15997
847	88666	15893
848	88770	15788
849	88875	15683
850	88979	15579
851	89083	15474
852	89187	15369
853	89291	15265
854	89395	15160
855	89499	15055
856	89603	14951
857	89707	14846
858	89811	14742
859	89916	14637
860	90020	14532
861	90124	14428
862	90228	14323
863	90332	14218
864	90436	14114
865	90540	14009
866	90644	13905
867	90748	13800
868	90852	13695
869	90957	13591
870	91068	13487
871	91173	13383
872	91279	13278
873	91385	13174
874	91489	13069
875	91594	12965
876	91699	12860
877	91803	12756
878	91909	12651
879	92020	12548
880	92126	12443
881	92231	12339
882	92336	12234
883	92441	12130
884	92547	12025
885	92652	11921
886	92757	11816
887	92862	11712
888	92969	11608
889	93073	11503
890	93178	11398
891	93282	11294
892	93385	11189
893	93490	11085
894	93594	10980
895	93698	10875
896	93802	10771
897	93840	10658
898	93945	10554
899	94049	10449
900	94157	10345
901	94262	10241
902	94366	10136
903	94471	10032
904	94575	9927
905	94681	9823
906	94786	9719
907	94892	9614
908	94996	9510
909	95100	9405
910	95204	9300
911	95308	9196
912	95412	9091
913	95516	8987
914	95620	8882
915	95724	8778
916	95829	8673
917	95933	8569
918	96037	8464
919	96142	8360
920	96246	8255
921	96350	8151
922	96454	8046
923	96558	7942
924	96662	7837
925	96766	7732
926	96870	7628
927	96975	7523
928	97079	7419
929	97184	7314
930	97288	7210
931	97392	7105
932	97496	7001
933	97600	6896
934	97704	6792
935	97808	6687
936	97913	6583
937	98018	6478
938	98122	6374
939	98229	6269
940	98334	6165
941	98439	6061
942	98544	5956
943	98649	5852
944	98754	5747
945	98859	5643
946	98964	5538
947	99068	5434
948	99173	5329
949	99284	5225
950	99390	5121
951	99496	5016
952	99601	4912
953	99706	4807
954	99811	4703
955	99915	4598
956	100020	4494
957	100125	4389
958	100149	4281
959	100261	4177
960	100367	4073
961	100471	3968
962	100576	3864
963	100681	3759
964	100786	3655
965	100890	3551
966	100996	3446
967	101100	3342
968	101118	3234
969	101222	3130
970	101330	3026
971	101436	2922
972	101540	2817
973	101645	2713
974	101749	2608
975	101854	2504
976	101959	2400
977	102066	2295
978	102131	2190
979	102236	2086
980	102302	1981
981	102407	1877
982	102511	1772
983	102616	1668
984	102721	1564
985	102786	1459
986	102891	1355
987	102996	1250
988	103102	1146
989	103206	1042
990	103323	938
991	103428	834
992	103533	729
993	103638	625
994	103743	521
995	103760	416
996	103865	312
997	103970	208
998	104075	104
999	104180	0
